#curie_map:
#  pao: "https://purl.org/pao/"
#  schema: "http://schema.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  owl: "http://www.w3.org/2002/07/owl#"
#mapping_set_id: "https://purl.org/pao/mappings/pao-to-schema"
#mapping_set_title: "PAO to schema.org Mappings"
#mapping_set_description: "Cross-ontology mappings between the Personal Agent Ontology and schema.org vocabulary for web interoperability."
#license: "https://creativecommons.org/licenses/by/4.0/"
#subject_source: "https://purl.org/pao/"
#subject_source_version: "0.5.0"
#object_source: "http://schema.org/"
#mapping_set_version: "0.1.0"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
pao:Action	action	skos:closeMatch	schema:Action	Action	semapv:SemanticSimilarityThresholdMatching	0.85	PAO Action is BFO-aligned intentional process; schema:Action is broader (includes automated actions). Not exactMatch due to intentionality constraint.
pao:ToolInvocation	tool invocation	skos:closeMatch	schema:UseAction	UseAction	semapv:SemanticSimilarityThresholdMatching	0.75	PAO ToolInvocation is agent-to-tool delegation; schema:UseAction is general object use.
pao:Conversation	conversation	skos:exactMatch	schema:Conversation	Conversation	semapv:SemanticSimilarityThresholdMatching	0.95	Both represent coherent dialogue threads between participants.
pao:Message	message	skos:exactMatch	schema:Message	Message	semapv:SemanticSimilarityThresholdMatching	0.92	Both represent textual/structured content in communication.
pao:Turn	turn	skos:narrowMatch	schema:Message	Message	semapv:SemanticSimilarityThresholdMatching	0.70	PAO Turn is a process (temporal participation event); schema:Message is information content. Turn is narrower in that it is one contribution within a conversation.
pao:Plan	plan	skos:closeMatch	schema:PlanAction	PlanAction	semapv:SemanticSimilarityThresholdMatching	0.70	PAO Plan is an information artifact (specification); schema:PlanAction is the act of planning. Different BFO categories (GDC vs Process).
pao:Encoding	encoding	skos:broadMatch	schema:CreateAction	CreateAction	semapv:SemanticSimilarityThresholdMatching	0.65	PAO Encoding writes to memory; schema:CreateAction creates any artifact. Encoding is narrower.
pao:Retrieval	retrieval	skos:broadMatch	schema:ReadAction	ReadAction	semapv:SemanticSimilarityThresholdMatching	0.65	PAO Retrieval reads from memory tiers; schema:ReadAction reads any content.
pao:Forgetting	forgetting	skos:broadMatch	schema:DeleteAction	DeleteAction	semapv:SemanticSimilarityThresholdMatching	0.60	PAO Forgetting is cognitive decay/removal; schema:DeleteAction is general deletion.
pao:ErasureEvent	erasure event	skos:closeMatch	schema:DeleteAction	DeleteAction	semapv:SemanticSimilarityThresholdMatching	0.75	Both involve deliberate removal; PAO ErasureEvent is privacy-motivated.
pao:Agent	agent	skos:broadMatch	schema:Person	Person	semapv:SemanticSimilarityThresholdMatching	0.55	PAO Agent covers both human and AI; schema:Person is only human. Agent is broader.
pao:HumanUser	human user	skos:closeMatch	schema:Person	Person	semapv:SemanticSimilarityThresholdMatching	0.88	Both represent human persons; PAO HumanUser adds AI-interaction context.
pao:AIAgent	ai agent	skos:closeMatch	schema:SoftwareApplication	SoftwareApplication	semapv:SemanticSimilarityThresholdMatching	0.70	PAO AIAgent emphasizes autonomy and decision-making; schema:SoftwareApplication is broader.
pao:Task	task	skos:closeMatch	schema:Action	Action	semapv:SemanticSimilarityThresholdMatching	0.60	PAO Task is a work item (GDC/information); schema:Action is a process. Different ontological categories.
pao:CommunicationChannel	communication channel	skos:closeMatch	schema:ContactPoint	ContactPoint	semapv:SemanticSimilarityThresholdMatching	0.65	PAO CommunicationChannel is a medium/conduit for agent interaction; schema:ContactPoint is a reachable contact address. Both describe how to reach someone but at different abstraction levels.
pao:Integration	integration	skos:closeMatch	schema:WebAPI	WebAPI	semapv:SemanticSimilarityThresholdMatching	0.72	PAO Integration is a configured connection to an external service providing tools; schema:WebAPI is an API service description. Both model external service access points.
pao:Organization	organization	skos:exactMatch	schema:Organization	Organization	semapv:SemanticSimilarityThresholdMatching	0.92	Both represent formal organizations/groups. PAO Organization is BFO-aligned (Object); schema:Organization is broader but semantically equivalent.
pao:viaChannel	via channel	skos:relatedMatch	schema:serviceUrl	serviceUrl	semapv:SemanticSimilarityThresholdMatching	0.45	PAO viaChannel links sessions to communication channels; schema:serviceUrl links services to URLs. Weak structural parallel.
