term,category,source_cq,notes
Narrative,class,CQ-N1;CQ-N2;CQ-N3;CQ-N4;CQ-N5;CQ-N6;CQ-N7;CQ-N8,"V2 new class. ⊑ iao:0000310 (iao:Document). A written editorial unit about events; not the events themselves. Matches Post / PodcastEpisode placement under iao:Document in modules/media.ttl. Deterministic IRI = https://w3id.org/energy-intel/narrative/{story-stem}; story stem is filename without extension; arc directory does NOT enter the IRI; duplicate stems are import errors."
NarrativePostMembership,class,CQ-N2;CQ-N3;CQ-N6;CQ-N7;CQ-N8,"V2 new class. ⊑ iao:0000310 (iao:Document). Reified n-ary relation: one individual per (narrative, post) pair, carrying the role qualifier. Reified rather than 4 role-named predicates because role-named predicates would smuggle storage state into predicate names (System Blueprint anti-pattern) and not absorb future first-class qualifier storage cleanly. Deterministic IRI = https://w3id.org/energy-intel/narrative/{story-stem}/membership/{post-uri-hash}."
hasNarrativePostMembership,property,CQ-N2;CQ-N3;CQ-N6;CQ-N7;CQ-N8,"V2 new object property. Domain ei:Narrative; range ei:NarrativePostMembership. Cardinality `many`; order is not preserved (per scope-v2.md Open Question 3)."
memberPost,property,CQ-N2;CQ-N3;CQ-N6;CQ-N7,"V2 new object property; owl:FunctionalProperty. Domain ei:NarrativePostMembership; range ei:Post. Functional 1: each membership references exactly one post."
memberRole,property,CQ-N2;CQ-N3;CQ-N8,"V2 new object property; owl:FunctionalProperty. Domain ei:NarrativePostMembership; range skos:Concept (constrained by SHACL to concepts in scheme ei:concept/narrative-role). Functional 1: each membership has exactly one role."
narrativeMentionsExpert,property,CQ-N6,"V2 new object property. Domain ei:Narrative; range foaf:Person (V1-widened from ei:Expert). Auto-derived from contained posts on import; reviewable via MCP. Asserted explicitly when import-time auto-derivation runs; CQ-N6 also walks the membership chain as a fallback."
narrativeAppliesPattern,property,CQ-N5,"V2 new object property. Domain ei:Narrative; range skos:Concept (SHACL-constrained to ei:concept/argument-pattern scheme). Cardinality 0..1. Mirrors current Story.argument_pattern."
narrativeAboutTopic,property,CQ-N4;CQ-T3,"V2 new object property. Domain ei:Narrative; range owl:Thing (SHACL-constrained to owl:Class ∪ skos:Concept per granularity contract; never owl:NamedIndividual). Topic = OEO IRI ∪ supplement IRI."
ArgumentPattern (concept scheme),scheme,CQ-N5,"V2 new SKOS ConceptScheme at ei:concept/argument-pattern. Declares 7 skos:Concept instances: deployment-milestone, emergent-technology-bulletin, geographic-energy-project, grid-snapshot, learning-curve, methodological-critique, structural-economic-analysis. Each carries skos:prefLabel, skos:definition, optional skos:related, optional skos:editorialNote (status: active|draft|deprecated). Replaces the prior owl:Class + ABoxed individuals modeling per source plan §S4."
NarrativeRole (concept scheme),scheme,CQ-N2;CQ-N3;CQ-N8,"V2 new SKOS ConceptScheme at ei:concept/narrative-role. Declares 4 skos:Concept instances: lead, supporting, counter, context. Each carries skos:prefLabel and skos:definition. Used as the range constraint of ei:memberRole."
EnergyTopic (concept scheme — V2 cutover),scheme,CQ-N4;CQ-T1;CQ-T2;CQ-T3,"V2 retires V1's hand-rolled SKOS scheme at modules/concept-schemes/technology-seeds.ttl and replaces it with topic IRIs sourced from OEO + Skygest supplements. Per-scheme split (single ei:concept/topic vs split + aggregator) decided in Phase 2 (scope-v2.md Open Question 1). Each supplement IRI carries skos:prefLabel, skos:definition, optional skos:exactMatch / skos:closeMatch to OEO IRIs, and skos:notation carrying the legacy topic_slug."
oeo:OEO_00010427,class,CQ-N4;CQ-T1,"OEO term — solar power technology. Phase 2 candidate runtime topic IRI. Verified to exist in oeo-full.owl per source plan §3.4. Granularity check: owl:Class (passes); not NamedIndividual; technology-class granularity (passes editorial contract)."
oeo:OEO_00010424,class,CQ-N4;CQ-T1,"OEO term — wind power technology. Phase 2 candidate runtime topic IRI."
oeo:OEO_00010426,class,CQ-N4;CQ-T1,"OEO term — offshore wind power technology. Replaces dropped OEO_00000308 (offshore wind farm) which fails the granularity contract (installation, not topic)."
oeo:OEO_00010439,class,CQ-N4;CQ-T1,"OEO term — nuclear power technology. Replaces dropped OEO_00010415 (bare 'nuclear') which is polysemous; pinned to the technology class."
oeo:OEO_00010258,class,CQ-N4;CQ-T1,"OEO term — bioenergy. Phase 2 candidate; granularity verification needed."
oeo:OEO_00020366,class,CQ-N4;CQ-T1,"OEO term — energy storage technology."
oeo:OEO_00310000,class,CQ-N4;CQ-T1,"OEO term — data center. Used as a leaf under the Skygest supplement umbrella ei:concept/data-center-demand."
ei:concept/data-center-demand,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. No clean OEO equivalent. Carries skos:notation 'data-center-demand' for legacy migration."
ei:concept/distributed-energy,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. No direct OEO label found per source plan §3.4. Local only."
ei:concept/grid-and-infrastructure,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO grid leaves (OEO_00000143 electricity grid, OEO_00110019 transmission grid, OEO_00110020 distribution grid)."
ei:concept/electrification,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; possible OEO leaves OEO_00000146 (electric vehicle), OEO_00000212 (heat pump). No direct umbrella label in OEO."
ei:concept/energy-efficiency,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; OEO_00140049 (energy conversion efficiency) too narrow."
ei:concept/energy-policy,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00140150 (policy) and OEO_00140151 (policy instrument)."
ei:concept/energy-markets,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00020069 (market exchange), OEO_00020065 (energy market exchange)."
ei:concept/energy-finance,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. No clean OEO topic. Local only."
ei:concept/energy-geopolitics,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. Editorial umbrella, local only."
ei:concept/critical-minerals,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00240030 (mineral) and narrower terms if added."
ei:concept/climate-and-emissions,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00000020 (greenhouse gas), OEO_00000199 (greenhouse gas emission)."
ei:concept/carbon-markets,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00020075 (emission market exchange), OEO_00020063 (emission certificate)."
ei:concept/environment-and-land-use,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; local only. Land-use sector candidates OEO_00010035, OEO_00010048 dropped — they are owl:NamedIndividual inventory records, excluded by the granularity contract."
ei:concept/energy-justice,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. Editorial umbrella, local only."
ei:concept/sectoral-decarbonization,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00010212 (decarbonisation pathway)."
ei:concept/workforce-and-manufacturing,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI; umbrella plus OEO_00010485 (manufacturing technology), OEO_00050000 (manufacturing process)."
ei:concept/research-and-innovation,supplement,CQ-T2;CQ-T3,"Skygest editorial supplement IRI. Editorial umbrella, local only."
iao:0000310,class,CQ-N1;CQ-N2;CQ-N7,"IAO Document. Already imported via V0 IAO MIREOT. Parent of ei:Narrative and ei:NarrativePostMembership in V2."
skos:Concept,class,CQ-N5;CQ-T1;CQ-T2;CQ-T3,"Already imported via V0 SKOS. Range of ei:memberRole, ei:narrativeAppliesPattern, ei:narrativeAboutTopic (when value is a Skygest supplement)."
skos:ConceptScheme,class,CQ-N5;CQ-T1;CQ-T2,"Already imported via V0 SKOS. Used to declare ei:concept/argument-pattern, ei:concept/narrative-role, and the topic SKOS scheme(s)."
skos:notation,property,CQ-T2,"Already imported via V0 SKOS. V2 uses to carry legacy editorial topic_slug on each Skygest supplement IRI for migration-period queryability."
skos:prefLabel,property,CQ-T1,"Already imported. V2 declares prefLabels on every new skos:Concept (4 narrative roles + 7 argument patterns + ~19 supplement topics)."
skos:altLabel,property,CQ-T1,"Already imported. V2 uses for argument-pattern variants."
skos:related,property,CQ-N5;CQ-T1,"Already imported. V2 reuses for argument-pattern relations (lifts the phantom related_patterns from BuildGraph.ts without minting a custom predicate)."
skos:broader,property,CQ-T1,"Already imported. V2 walks for topic neighbour lookup."
skos:narrower,property,CQ-T1,"Already imported. V2 walks for topic neighbour lookup."
skos:editorialNote,property,CQ-N5,"Already imported. V2 uses for argument-pattern lifecycle (status: draft|active|deprecated)."
owl:Class,class,CQ-T3,"Already imported. V2 granularity contract: every ei:narrativeAboutTopic value MUST be owl:Class (when from OEO scheme) OR skos:Concept (when from supplement scheme)."
foaf:Person,class,CQ-N6,"Already imported via V0/V1. Range of ei:narrativeMentionsExpert (V1-widened from ei:Expert)."
ei:Post,class,CQ-N2;CQ-N3;CQ-N6;CQ-N7,"V0 class (modules/media.ttl). Range of ei:memberPost. Already declared; V2 reuses unchanged."
ei:authoredBy,property,CQ-N6,"V0 property; V1-widened range to foaf:Person. Walked by CQ-N6 to derive expert mentions from contained posts."
