term,category,source_cq,notes
StatisticTypeScheme,class,CQ-011,SKOS ConceptScheme for statistic type facet
AggregationScheme,class,CQ-011,SKOS ConceptScheme for aggregation facet
UnitFamilyScheme,class,CQ-011,SKOS ConceptScheme for unit family facet
TechnologyOrFuelScheme,class,CQ-011,SKOS ConceptScheme for technology/fuel facet
FrequencyScheme,class,CQ-011,"SKOS ConceptScheme for frequency facet (Phase 2 — FixedDims, not Variable)"
Stock,individual,CQ-007,"statisticType concept — installed/cumulative quantities"
Flow,individual,CQ-007,"statisticType concept — generation/output quantities"
Price,individual,CQ-002,"statisticType concept — cost/tariff quantities"
Share,individual,CQ-002,"statisticType concept — percentage/proportion"
Count,individual,CQ-001,"statisticType concept — discrete counts"
Point,individual,CQ-001,"aggregation concept — single-point-in-time value"
EndOfPeriod,individual,CQ-001,"aggregation concept — cumulative to end of period"
Sum,individual,CQ-001,"aggregation concept — total over period"
Average,individual,CQ-001,"aggregation concept — mean over period"
Max,individual,CQ-001,"aggregation concept — maximum over period"
Min,individual,CQ-001,"aggregation concept — minimum over period"
Settlement,individual,CQ-001,"aggregation concept — settlement/clearing value"
Power,individual,CQ-008,"unitFamily concept — GW/MW/kW"
Energy,individual,CQ-001,"unitFamily concept — TWh/GWh/MWh"
Currency,individual,CQ-001,"unitFamily concept — $/EUR/GBP"
CurrencyPerEnergy,individual,CQ-001,"unitFamily concept — $/MWh/EUR/MWh"
MassCo2e,individual,CQ-001,"unitFamily concept — tCO2/MtCO2e"
Intensity,individual,CQ-001,"unitFamily concept — gCO2/kWh"
Dimensionless,individual,CQ-001,"unitFamily concept — %/share/proportion"
Other,individual,CQ-001,"unitFamily concept — catch-all for unclassified units"
SolarPv,individual,CQ-003,"technologyOrFuel concept — solar photovoltaic"
Wind,individual,CQ-009,"technologyOrFuel concept — wind (parent)"
OnshoreWind,individual,CQ-009,"technologyOrFuel concept — onshore wind"
OffshoreWind,individual,CQ-009,"technologyOrFuel concept — offshore wind"
Battery,individual,CQ-001,"technologyOrFuel concept — battery/BESS"
Renewable,individual,CQ-001,"technologyOrFuel concept — renewables (parent)"
Nuclear,individual,CQ-001,"technologyOrFuel concept — nuclear/atomic"
Coal,individual,CQ-001,"technologyOrFuel concept — coal (parent)"
BrownCoal,individual,CQ-001,"technologyOrFuel concept — lignite"
HeatPump,individual,CQ-016,"technologyOrFuel concept — heat pump"
Hydrogen,individual,CQ-001,"technologyOrFuel concept — hydrogen/electrolyzer"
NaturalGas,individual,CQ-001,"technologyOrFuel concept — natural gas/CCGT/OCGT"
GasCcgt,individual,CQ-001,"technologyOrFuel concept — combined cycle gas turbine"
Hourly,individual,CQ-001,"frequency concept (Phase 2)"
Daily,individual,CQ-001,"frequency concept (Phase 2)"
Weekly,individual,CQ-001,"frequency concept (Phase 2)"
Monthly,individual,CQ-001,"frequency concept (Phase 2)"
Quarterly,individual,CQ-001,"frequency concept (Phase 2)"
Annual,individual,CQ-001,"frequency concept (Phase 2)"
SurfaceFormEntry,class,CQ-012,"Reified annotation linking altLabel to provenance"
skos:inScheme,property,CQ-004,"Links concept to its ConceptScheme"
skos:prefLabel,property,CQ-001,"Canonical label for the concept"
skos:altLabel,property,CQ-002,"Surface form text (EN/DE)"
skos:broader,property,CQ-009,"Hierarchical parent within a scheme"
skos:narrower,property,CQ-009,"Hierarchical child (inverse of broader)"
skos:definition,property,CQ-024,"Genus-differentia definition of the concept"
skos:exactMatch,property,CQ-019,"Cross-ontology exact equivalence"
skos:closeMatch,property,CQ-019,"Cross-ontology close equivalence"
skos:broadMatch,property,CQ-025,"Cross-ontology broad equivalence"
hasProvenanceAnnotation,property,CQ-012,"Links concept to SurfaceFormEntry individual"
surfaceFormValue,property,CQ-012,"The altLabel string this provenance applies to"
provenance,property,CQ-012,"Provenance tag (cold-start-corpus|hand-curated|oeo-derived|ucum-derived|agent-curated|eval-feedback)"
skos:note,property,CQ-028,"Note on SurfaceFormEntry — required for agent-curated and eval-feedback provenance"
normalizedSurfaceForm,property,CQ-027,"Build-script-computed NFKC+lowercase+collapse form of the surfaceForm (JSON export only)"
