term,category,source_cq,notes
# ===== Classes (local) =====
CanonicalMeasurementClaim,class,"CQ-001,CQ-003,CQ-004,CQ-005,CQ-006,CQ-008,CQ-009,CQ-010,CQ-012,CQ-014","Editorial primitive extracted from a media artefact; tagged-union counterpart to Observation (owl:disjointWith). skos:altLabel ""Candidate"" per runtime naming. BFO: iao:InformationContentEntity."
Observation,class,(foundational),"Data primitive from Distribution ingestion — fully-resolved data point. Thin in V0; no CQs hit it yet (deferred full treatment to data-ingest lane). iao:InformationContentEntity."
Variable,class,"CQ-003,CQ-006,CQ-007,CQ-008","Thin class in V0: IRI + rdfs:label + optional rdfs:comment. Seven-facet identity from Linear D2 deferred to V1. skos:altLabel ""CanonicalMeasurementSeries"" for agentology continuity. iao:InformationContentEntity."
Series,class,"CQ-004","Thin class in V0: IRI + rdfs:label. Per SKY-316: ei:implementsVariable exactly 1 + ei:publishedInDataset max 1. iao:InformationContentEntity."
Post,class,"CQ-001,CQ-002,CQ-007,CQ-008,CQ-014","Social-media post (Bluesky at:// or Twitter x://). authoredBy exactly 1 Expert; inConversation max 1 SocialThread. iao:Document subclass."
MediaAttachment,class,(media § expanded),"Abstract supertype for chart/screenshot/excerpt/image payloads attached to a Post. iao:Document subclass."
Chart,class,(media § expanded),"Data visualisation — bar/line/pie chart embedded in a post. Subclass of MediaAttachment."
Screenshot,class,(media § expanded),"Screenshot of external content (news article, report, external post, PDF). Subclass of MediaAttachment. Carries ei:screenshotOf → xsd:anyURI."
Excerpt,class,(media § expanded),"Quoted text block from an external source (pull-quote, transcribed report snippet). Subclass of MediaAttachment. Carries ei:excerptFrom → xsd:anyURI."
Image,class,(media § expanded),"Generic image (photo, diagram, logo). Subclass of MediaAttachment. Thin catch-all for attachments that are not Chart/Screenshot/Excerpt."
Conversation,class,(scope § modules),"Abstract supertype: unit of media with multi-participant exchange. Subtypes: SocialThread, PodcastEpisode. iao:InformationContentEntity."
SocialThread,class,(scope § modules),"Reply-tree of Posts on Bluesky or Twitter. Conversation subclass. Posts within are linked via ei:repliesTo (partial order, not ordered list)."
PodcastEpisode,class,"CQ-011,CQ-012","Audio recording composed of ordered PodcastSegments. Conversation subclass."
PodcastSegment,class,"CQ-011,CQ-012","Timestamped portion of a PodcastEpisode. partOf exactly 1 PodcastEpisode; spokenBy 0..n Expert. Carries ei:hasSegmentIndex xsd:integer for ordering."
Expert,class,"CQ-002,CQ-007,CQ-008,CQ-011","Person with public energy discourse; DID-based identity. Strict foaf:Person subclass in V0 (no team / bot accounts)."
Organization,class,"(scope § modules)","Institutional actor (agency, publisher, data provider). Dual parent: rdfs:subClassOf foaf:Organization + rdfs:subClassOf bfo:ObjectAggregate. Role-bearer for PublisherRole + DataProviderRole."
PublisherRole,class,"(scope § modules)","bfo:Role borne by Organization when it publishes content (news, analysis, editorial)."
DataProviderRole,class,"(scope § modules)","bfo:Role borne by Organization when it publishes data distributions (EIA, Ember, NESO, ...)."
ClaimTemporalWindow,class,(CMC shape),"Range of ei:assertedTime. Attributes: ei:intervalStart (xsd:date|xsd:dateTime), ei:intervalEnd (0..1), rdfs:label (surface form like ""2025 YTD"")."

# ===== Classes (reused external) =====
foaf:Agent,class,(superclass),"Root for Organization + Person in FOAF."
foaf:Person,class,(superclass),"Superclass of Expert."
foaf:Organization,class,(superclass),"Superclass of ei:Organization."
