stakeholder_need,use_case_id,cq_id,ontology_terms,sparql_test
"Spawn a Narrative from picks with a stable identity (idempotent re-import; deterministic IRI from story stem)",UC-009,CQ-N1,"Narrative;iao:0000310",ontologies/energy-intel/tests/cq-editorial-N1.sparql
"Walk forward from a Narrative to its post memberships and roles (rendering the narrative)",UC-010,CQ-N2,"Narrative;NarrativePostMembership;Post;hasNarrativePostMembership;memberPost;memberRole",ontologies/energy-intel/tests/cq-editorial-N2.sparql
"Walk reverse from a Post to all Narratives that include it and the role in each (post inspector)",UC-010,CQ-N3,"Narrative;NarrativePostMembership;Post;hasNarrativePostMembership;memberPost;memberRole",ontologies/energy-intel/tests/cq-editorial-N3.sparql
"Filter Narratives by topic (OEO IRI or Skygest supplement IRI)",UC-012,CQ-N4,"Narrative;narrativeAboutTopic;OEO_topic_classes;ei:concept/...",ontologies/energy-intel/tests/cq-editorial-N4.sparql
"Classify a Narrative by argument pattern; find all Narratives applying a pattern",UC-011,CQ-N5,"Narrative;narrativeAppliesPattern;skos:Concept;ei:concept/argument-pattern",ontologies/energy-intel/tests/cq-editorial-N5.sparql
"Surface auto-derived Expert mentions for a Narrative (defense-in-depth: explicit assertion + property-path fallback)",UC-010,CQ-N6,"Narrative;narrativeMentionsExpert;hasNarrativePostMembership;memberPost;authoredBy;foaf:Person",ontologies/energy-intel/tests/cq-editorial-N6.sparql
"Enforce at-most-one NarrativePostMembership per (Narrative, Post) pair on import",UC-013,CQ-N7,"Narrative;NarrativePostMembership;Post;hasNarrativePostMembership;memberPost;NarrativePostMembershipShape",ontologies/energy-intel/tests/cq-editorial-N7.sparql
"Surface (as warning) at-most-one membership with role=lead per Narrative",UC-010,CQ-N8,"Narrative;NarrativePostMembership;memberRole;ei:concept/narrative-role/lead",ontologies/energy-intel/tests/cq-editorial-N8.sparql
"Lookup topic metadata (label, alt-labels, broader/narrower) by IRI",UC-014,CQ-T1,"skos:Concept;skos:prefLabel;skos:altLabel;skos:broader;skos:narrower",ontologies/energy-intel/tests/cq-editorial-T1.sparql
"Migrate legacy editorial slug -> canonical IRI(s) via skos:notation (1-to-many allowed)",UC-014,CQ-T2,"skos:Concept;skos:notation;ei:concept/...",ontologies/energy-intel/tests/cq-editorial-T2.sparql
"Enforce granularity contract: every ei:narrativeAboutTopic value MUST be owl:Class or skos:Concept; never bare owl:NamedIndividual",UC-012,CQ-T3,"narrativeAboutTopic;owl:Class;skos:Concept",ontologies/energy-intel/tests/cq-editorial-granularity.sparql
