cq_id,atomic,answerable,falsifiable,scoped,prioritized,sample_bearing,decision,notes
CQ-N1,pass,pass,pass,pass,pass,pass,advance,"Single deterministic-IRI lookup; falsifiable when the deterministic IRI rule is broken or Narrative class missing. Inside scope-v2.md § In-scope item 1."
CQ-N2,pass,pass,pass,pass,pass,pass,advance,"Forward walk Narrative -> memberships -> {post, role}; falsifiable when ei:hasNarrativePostMembership / ei:memberPost / ei:memberRole are unwired. Inside scope-v2.md § In-scope item 1."
CQ-N3,pass,pass,pass,pass,pass,pass,advance,"Reverse walk Post -> memberships -> Narrative; falsifiable when the reified relation does not absorb reverse traversal. Inside scope-v2.md § In-scope item 1."
CQ-N4,pass,pass,pass,pass,pass,pass,advance,"Direct lookup over ei:narrativeAboutTopic; falsifiable when the topic predicate is missing. Inside scope-v2.md § In-scope item 1 (editorial module) plus item 2 (concept-scheme modules)."
CQ-N5,pass,pass,pass,pass,pass,pass,advance,"Direct lookup over ei:narrativeAppliesPattern; falsifiable when the argument-pattern SKOS scheme is unwired. Inside scope-v2.md § In-scope item 2."
CQ-N6,pass,pass,pass,pass,pass,pass,advance,"UNION of explicit assertion + property-path fallback; falsifiable independently on each branch. should_have because the canonical contract is the membership walk in CQ-N2/N3; CQ-N6 is defense-in-depth."
CQ-N7,pass,pass,pass,pass,pass,pass,advance,"Verify-style constraint with FILTER(?m1 != ?m2); falsifiable trivially on a fixture with two memberships per (Narrative, Post). Encodes the SHACL closed-shape invariant."
CQ-N8,pass,pass,pass,pass,pass,pass,advance,"Verify-style constraint over duplicate lead memberships; falsifiable on a fixture with two lead memberships per Narrative. should_have because SHACL severity is sh:Warning, not sh:Violation."
CQ-T1,pass,pass,pass,pass,pass,pass,advance,"OPTIONAL-laced lookup over SKOS metadata; falsifiable when prefLabel is missing. must_have because it covers the basic topic-metadata contract that downstream readers rely on."
CQ-T2,pass,pass,pass,pass,pass,pass,advance,"Direct skos:notation lookup; falsifiable when supplement IRIs lack notations. should_have because the cloudflare-side dual-write window during Pattern A migration handles slug -> IRI translation in TS, but ontology-native queryability is desirable."
CQ-T3,pass,pass,pass,pass,pass,pass,advance,"Verify-style granularity-contract constraint via FILTER NOT EXISTS over owl:Class / skos:Concept typing; falsifiable on a fixture where ei:narrativeAboutTopic targets a bare owl:NamedIndividual not also typed as Class or Concept. Encodes handoff §'Phase 1 acceptance' requirement that the granularity contract is testable."
